# Korean line of data/*.xml and data/lua/*.lua <TAB> English line. Applied by data_apply.pl.
\t\t<Title>진화의 고리</Title>	\t\t<Title>Ring of Evolution</Title>
\t\t\t<Script sender="호라" targetitem="25" index="3">이걸 받으십시오. 하실 일은 이것을 가지고 누군가를 만나는 일입니다. 만나야 하는 이는 바로 이단 뱀파이어인 "라르바"입니다. 보통은 그냥 만나주지 않지만 영혼 상태가 되어 이 증표를 가지고 가면 대화에 응해줄 것입니다.  제가 엘라임의 힘을 빌어 당신께 마법을 걸어드리겠습니다. 조금 있으면 육신과 영혼이 분리될 것입니다. 육신은 걱정하지 마십시오. 제가 잘 보관하고 있겠습니다.  자 어서 라르바에게로 향하십시오.  아, 영혼 상태에서는 마법도, 공격도, 그 밖의 많은 것들도 하지 못합니다. 하지만 어떠한 공격도 당하지 않게 되니 걱정 마십시오.  부디 엘라임의 축복이….  </Script>	\t\t\t<Script sender="Hora" targetitem="25" index="3">Please take this. Your task is to carry it to someone. The one you must meet is the heretic vampire "Larva". Larva does not usually receive anyone, but if you go in spirit form bearing this token, Larva will agree to talk.  I will borrow Elaim's power to cast a spell on you. In a moment your body and soul will separate. Do not worry about your body; I will keep it safe.  Now, hurry to Larva.  Oh, and in spirit form you cannot use magic, attack, or do many other things. But no attack can harm you either, so do not worry.  May Elaim's blessing...  </Script>
\t\t\t<SayNPC name="라르바" target="368" index="4">림보성 남동에 있는 라르바에게 극비 문서를 전달한다.</SayNPC>	\t\t\t<SayNPC name="Larva" target="368" index="4">Deliver the top-secret document to Larva in Limbo Castle Southeast</SayNPC>
\t\t\t<Script sender="라르바" target="368" index="5">이런 곳까지 나를 찾아온 작은 영혼은 누구인가? 아, 그건 라비니아의….</Script>	\t\t\t<Script sender="Larva" target="368" index="5">Who is this little soul that has sought me out in such a place? Ah, so it is Lavinia's...</Script>
\t\t\t<Script sender="라르바" targetitem="26" index="6">이걸 가지고 돌아가게. 그리고 한가지 더….  요새 뱀파이어들과 인간들 사이에서 이상한 일이 벌어지고 있네. 그들이 손을 잡는다는 것은 상상할 수 없는 일이지만 워낙 욕망으로만 가득한 놈들이니….  내 말을 명심하고 라비니아에게 이를 꼭 전하도록 하게.  </Script>	\t\t\t<Script sender="Larva" targetitem="26" index="6">Take this and go back. And one thing more...  Strange things are happening between the vampires and the humans of late. That they would join hands is unthinkable, yet they are creatures full of nothing but greed...  Mark my words, and be sure to pass them on to Lavinia.  </Script>
\t\t\t<SayNPC name="호라" target="658" index="7">아우스터즈 마을에 있는 호라에게 회신 문서를 전한다.</SayNPC>	\t\t\t<SayNPC name="Hora" target="658" index="7">Deliver the reply to Hora in the Ousters Village</SayNPC>
\t\t\t<Script sender="호라" target="658" index="8">이것이군요. 수고하셨습니다. 걱정 많이 했답니다.  네? 인간과 뱀파이어들 사이에서 그런 일이…? 라르바의 말이라면 괜한 소리는 아니겠군요. 알겠습니다. 라비니아 님께 말씀 드리겠습니다.  조만간 다시 메시지를 전하도록 하겠습니다.  </Script>	\t\t\t<Script sender="Hora" target="658" index="8">So this is it. Thank you for your trouble. I was very worried about you.  What? Something like that between the humans and the vampires...? If Larva says so, it cannot be idle talk. I understand. I will tell Lady Lavinia.  I will send you another message soon.  </Script>
\t\t<FailMessage sender="호라" target="658">이런 실패하셨군요. 안타깝습니다.</FailMessage>	\t\t<FailMessage sender="Hora" target="658">Oh no, you failed. What a pity.</FailMessage>
\t\t\t<IllegalWarp index="2">대지정령의 뿔 사용 금지</IllegalWarp>	\t\t\t<IllegalWarp index="2">No Earth Spirit Horns</IllegalWarp>
\t\t\t<RideMotorcycle index="3">실프 사용 금지</RideMotorcycle>	\t\t\t<RideMotorcycle index="3">No Sylph</RideMotorcycle>
\t\t<Script sender="호라">정령 엘라임의 축복으로 호라, 그대에게 라비니아님의 전언을 전합니다. 아담의 성지 중앙 상층부에 아담의 성지로 통하는 입구가 열렸다고 합니다. 뱀파이어와 인간들의 욕망을 저지하기 위해 당신의 도움이 필요합니다. 조사해주실 수 있겠습니까?</Script>	\t\t<Script sender="Hora">By the blessing of the spirit Elaim, I, Hora, bring you Lady Lavinia's message. We hear that an entrance has opened in the upper central part of Adam's Holy Land, leading into the heart of the Holy Land. We need your help to thwart the greed of the vampires and the humans. Will you investigate it?</Script>
\t\t\t<Script sender="호라" target="658" index="3">제 말이 들리십니까? 우우웅…. 지금 막 입수한… 정보에 의하면…. 웅-. 제단의 문에는 마법진…. 6개의…. 우우우우우웅-.</Script>	\t\t\t<Script sender="Hora" target="658" index="3">Can you hear me? Wooong... According to... the information we just... received... Woong-. At the Gate of the Altar there are magic circles... six of... Woooooong-.</Script>
\t\t\t<Script index="7">제물. '동족들은 영혼을 붙잡힌 채 악귀들의 기괴한 웃음소리 속에서 원망의 눈초리를 보내고 있다.'</Script>	\t\t\t<Script index="7">Sacrifice. 'Our kin, their souls held captive, stare at us in reproach amid the eerie laughter of fiends.'</Script>
\t\t\t<Script index="8">배신. '이 임무는 우리를 단지 제물로 삼기 위한 함정이었던 것인가? 간악한 인간과 뱀파이어들이 손을 잡고 이런 일을 꾸밀 줄이야.'</Script>	\t\t\t<Script index="8">Betrayal. 'Was this mission only a trap to make sacrifices of us? To think the wicked humans and vampires would join hands to plot such a thing.'</Script>
\t\t\t<Script index="9">의문. '헌데 대체 이 많은 제물은 무엇을 위한 것인가?'</Script>	\t\t\t<Script index="9">Doubt. 'But what on earth are all these sacrifices for?'</Script>
\t\t\t<ClearDynamicZone zoneid="4002" index="10">몬스터들을 죽여 "생명의 나선"을 얻어라. 이를 이용해 제물이 된 아우스터즈들을 구출하라.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4002" index="10">Kill monsters to obtain "Life Spirals" and use them to rescue the Ousters offered as sacrifices</ClearDynamicZone>
\t\t<Script>"호라"에게 간다.</Script>	\t\t<Script>Go to "Hora".</Script>
\t\t\t<Script index="1"> 무서운 것들. 동료들을 팔면서까지 욕망을 채우려 하다니…. 역시 인간이나 뱀파이어들은 어쩔 수 없는 녀석들인가…. 한시 빨리 보고를 드려야겠다.  </Script>	\t\t\t<Script index="1"> Terrible creatures. To sell out their own comrades just to sate their greed... Humans and vampires really are beyond redemption... I must report this at once.  </Script>
\t\t\t<SayNPC name="호라" target="658" index="2">호라에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Hora" target="658" index="2">Talk to Hora</SayNPC>
\t\t\t<Script sender="호라" target="658" index="3">엘라임의 축복이 그대에게 함께 하였습니다.</Script>	\t\t\t<Script sender="Hora" target="658" index="3">The blessing of Elaim was with you.</Script>
\t\t\t<Script sender="호라" target="658" index="4">그래 하실 말씀이라도….</Script>	\t\t\t<Script sender="Hora" target="658" index="4">So, is there something you wish to tell me...</Script>
\t\t\t<Script sender="호라" target="658" index="5" action="dead" warp="4005">아…. 괜찮으십니까? 어디가 아프….</Script>	\t\t\t<Script sender="Hora" target="658" index="5" action="dead" warp="4005">Ah... Are you all right? Does something hu...</Script>
\t\t\t<ClearDynamicZone zoneid="4005" index="7">자신의 내면 속에서 "이성의 봉인"을 수호하고 "10분" 동안 생존한다.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4005" index="7">Guard the "Sealing of Reason" within your own mind and survive for "10 minutes"</ClearDynamicZone>
\t\t\t<SayNPC name="호라" target="658" index="8">다시 호라에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Hora" target="658" index="8">Talk to Hora again</SayNPC>
\t\t<Title>어둠에 눈을 뜨라.</Title>	\t\t<Title>Open Your Eyes to the Darkness.</Title>
\t\t<Script sender="브리콜라카스">자, 새롭게 얻은 힘을 느껴보고 싶은가? 후후… 하지만 아직 네 힘은 미약하기 짝이 없다. 그 상태로 성 밖을 나서봐야 버텨낼 수 없을 터. 하지만 지금 같은 전시에 네 녀석을 일일이 가르칠 여유는 없구나. 하지만 네 스스로 가능성을 보여준다면 가르침을 주겠다. 이곳 지하 1층 정도라면 지금의 너라도 감당이 가능하겠지. 그곳의 쓰레기들을 처리하도록 해라. 때가 되면 너를 부를 것이다.</Script>	\t\t<Script sender="Vrykolakas">So, you wish to feel your newfound power? Heh... But your power is still pitifully feeble. Step outside the castle as you are and you will not last. Yet in wartime such as this I have no leisure to teach a whelp like you everything myself. Show me your potential on your own, however, and I shall teach you. The first basement level here should be within even your present means. Go and dispose of the rubbish there. When the time comes, I shall summon you.</Script>
\t\t<CompleteMessage sender="브리콜라카스" target="92">음… 좋다. 너에게서 풍기는 피 냄새가 제법 쓸만하구나. 내가 너에게 능력을 전수해 주마.</CompleteMessage>	\t\t<CompleteMessage sender="Vrykolakas" target="92">Hmm... Good. The scent of blood about you is quite promising. I shall pass my power on to you.</CompleteMessage>
\t\t\t<Level min="6" index="1">레벨 6 이상 달성</Level>	\t\t\t<Level min="6" index="1">Reach level 6</Level>
