1262	Hexserius Dungeon B2F	Hexserius B2F
1301	Olt	Slayer PK
1302	Oltenia	Vampire PK
1303	Banatul	Free PK
1311	Ousters Village	Ousters Village
1321	Hanial Dungeon B1F	Hanial B1F
1322	Hanial Dungeon B2F	Hanial B2F
1323	Hanial Dungeon B3F	Hanial B3F
1324	Hanial Dungeon B4F	Hanial B4F
1401	Lust Tower 1F	Lust Tower 1F
1402	Lust Tower 2F	Lust Tower 2F
1410	Illusions Way 1	Illusions Way 1
1411	Illusions Way 2	Illusions Way 2
1412	Gilles de Rais' Lair	Gilles' Lair
1413	Gilles de Rais' Lair Core	Gilles' Lair Core
1500	Castle Siege Test	Siege Test
1501	Octavus Siege Area	Octavus Siege
1502	Tertius Siege Area	Tertius Siege
1503	Septimus Siege Area	Septimus Siege
1504	Quartus Siege Area	Quartus Siege
1505	Pentanus Siege Area	Pentanus Siege
1506	Hexserius Siege Area	Hexserius Siege
1600	Path to Fears	Path to Fears
1601	IK Office	IKO
1602	IK Lab	IKL
1603	IK Lab B1F	IK1
1604	IK Lab B2F	IK2
1611	Junjeo Tunnel 1F	Junjeo 1F
1612	Junjeo Tunnel 2F	Junjeo 2F
1621	New Map	New Map
2000	Soldier Guild B1F	Soldier B1F
2001	Soldier Guild 1F	Soldier 1F
2002	Soldier Guild 2F	Soldier 2F
2003	Soldier Guild 3F	Soldier 3F
2004	Soldier Guild Rooftop	Soldier Roof
2010	Cleric Guild B1F	Cleric B1F
2011	Cleric Guild 1F	Cleric 1F
2012	Cleric Guild 2F	Cleric 2F
2013	Cleric Guild 3F	Cleric 3F
2014	Cleric Guild 4F	Cleric 4F
2020	Warrior Guild B1F	Warrior B1F
2021	Warrior Guild 1F	Warrior 1F
2022	Warrior Guild 2F	Warrior 2F
2023	Warrior Guild 3F	Warrior 3F
2024	Warrior Guild Rooftop	Warrior Roof
2101	Field Headquarters	Field HQ
2102	City Outskirts	Outskirts
3001	Refinium Mine	Refinium Mine
3002	Trap Zone	Trap Zone
3003	Refinium Storeroom	Refinium Store
4001	Gate of the Altar	GOA
4002	Altar of Blood	AOB
4003	Slayer Mirror of the Abyss	SMOA
4004	Vampire Mirror of the Abyss	VMOA
4005	Ousters Mirror of the Abyss	OMOA
8000	Developer Training Camp	Training Camp
8001	Survival	Survival
